AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Zeppelin L-23 (airship),Off western Denmark,,Off western Denmark,8/21/1917,Off western Denmark,Military - German Navy,,,Shot down by British aircraft.,12/30/1899 7:00:00 AM,18,,,1,18,,,,0
Zeppelin L-44 (airship),Near Luneville,, France,10/20/1917,"Near Luneville, France",Military - German Navy,,,Shot down by French anti-aircraft fire.,12/30/1899 7:45:00 AM,18,,,1,18,,,,0
Zeppelin L-59 (airship),Over the Mediterranean,,Over the Mediterranean,4/7/1918,Over the Mediterranean,Military - German Navy,,,Exploded and crashed into the sea off the southern coast of Italy.,12/30/1899 9:30:00 PM,23,,,1,23,,,,0
Zeppelin L-70 (airship),Off Helgoland Island,, Germany,5/10/1918,"Off Helgoland Island, Germany",Military - German Navy,,,"Shot down by British aircraft crashing from a height of 17,000 ft.",,22,,,1,22,,,,0
Zeppelin L-53 (airship),Ameland Island,, North Sea,8/11/1918,"Ameland Island, North Sea",Military - German Navy,,,Shot down by british aircraft.,12/30/1899 10:00:00 AM,19,,,1,19,,,,0
De Havilland DH-4,Elizabeth,, New Jersey,12/16/1918,"Elizabeth, New Jersey",US Aerial Mail Service,97,,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Cleveland,, Ohio,5/25/1919,"Cleveland, Ohio",US Aerial Mail Service,61,,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Dix Run,, Pennsylvania,7/19/1919,"Dix Run, Pennsylvania",US Aerial Mail Service,82,,The mail plane crashed under unknown circumstances.,,1,1,0,1,1,1,0,,0
FD Type Dirigible,Chicago,, Illinois,7/21/1919,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,,Shuttle," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",12/30/1899 4:55:00 PM,,,,1,3,1,2,,10
Caproni Ca.48,Verona,, Italy,8/2/1919,"Verona, Italy",Caproni Company,,Venice  Taliedo,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,,14,2,12,1,14,2,12,,0
De Havilland DH-4,Newcastle,, England,10/2/1919,"Newcastle, England",Aircraft Transport and Travel,,,,,1,1,0,1,1,1,0,,0
Curtiss R-4LM,Cantonsville,, Maryland,10/14/1919,"Cantonsville, Maryland",US Aerial Mail Service,32,,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",,1,1,0,1,1,1,0,,0
De Havilland DH-4,English Channel off Forkstone,, Kent,10/20/1919,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,G-EAHG,,Crashed into the sea while attempting to land in fog.,,0,1,0,1,0,0,0,,0
De Havilland DH.4,Long Valley,77, New Jersey,10/30/1919,"Long Valley, New Jersey",US Aerial Mail Service,77,,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",,1,1,0,1,1,1,0,,0
de Havilland DH-4,Catherham,, UK,12/11/1919,"Catherham, Surrey, UK",Aircraft Travel Transport,G-EAHF,Paris - Hounslow,Crashed in a field while attemptting to land.,,1,1,1,1,1,1,1,,0
De Havilland DH-4,New Paris,, Indiana,3/10/1920,"New Paris, Indiana",US Aerial Mail Service,65,,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",,1,1,0,1,1,1,0,,0
De Havilland DH-4,Newark,, New Jersey,3/30/1920,"Newark, New Jersey",US Aerial Mail Service,72,Washington - Newark,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,,1,1,0,1,1,1,0,,0
Curtiss R-4LM,Newark,, New Jersey,4/10/1920,"Newark, New Jersey",US Aerial Mail Service,49,,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,,2,1,1,1,1,1,0,,0
Curtiss JN-4H,Heller Field,, New Jersey,4/11/1920,"Heller Field, New Jersey",US Aerial Mail Service,44,,The aircraft crashed while on approach for unknown reasons.,,2,1,1,1,1,1,0,,0
De Havilland DH-4,Oskaloosa,, Iowa,5/12/1920,"Oskaloosa, Iowa",US Aerial Mail Service,79,,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",,2,1,1,1,1,0,1,,0
De Havilland DH-4,Cleveland,, Ohio,6/6/1920,"Cleveland, Ohio",US Aerial Mail Service,204,,The aircraft suffered engine failure and crashed shortly after taking off.,,1,1,0,1,1,1,0,,0
Farman F-40,Cartagena,, Columbia,7/20/1920,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,,,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,,1,1,1,1,1,1,1,,0
Armstrong-Whitworth F-K-8,Bedford,, England,8/16/1920,"Bedford, England",By Air,G-EALW,,The plane crashed during a cargo flight under unknown circumstances.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,College Park,, Maryland,8/16/1920,"College Park, Maryland",US Aerial Mail Service,317,,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",,1,1,0,1,1,1,0,,0
Junkers JL-6,Morristown,, New Jersey,9/1/1920,"Morristown, New Jersey",US Aerial Mail Service,305,,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",,2,2,0,1,2,2,0,,0
Junkers F-13,Pemberville,, Ohio,9/15/1920,"Pemberville, Ohio",US Aerial Mail Service,308,,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,,2,,,1,2,,,,0
De Havilland DH-4,Hillersburg,, Pennsylvania,9/27/1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,316,,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,,1,1,0,1,1,1,0,,0
Salmson 2-A-2,Off Port Vendres,31, France,10/2/1920,"Off Port Vendres, France",Latecoere Airlines,F-ALAI,,Crashed into the Mediterranean while on a mail flight.,,2,1,1,1,2,1,1,,0
Breguet 14,Valencia,20, Spain,10/5/1920,"Valencia, Spain",Latecoere Airlines,F-ALTA,,While on a mail flight the plane crashed while attempting to land.,,2,1,1,1,2,1,1,,0
De Havilland DH-4,Batavia,, Illinois,10/15/1920,"Batavia, Illinois",US Aerial Mail Service,76,,While attempting to land in fog the aircraft hit an obstruction and crashed.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Tie Siding,178, Wyoming,11/7/1920,"Tie Siding, Wyoming",US Aerial Mail Service,,,The aircraft crashed into a mountain in poor weather condtions.,,1,1,0,1,1,1,0,,0
Handley Page HP-16,London,HP-25, England,12/14/1920,"London, England",Handley Page Transport,G-EAMA,London - Paris,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,12/30/1899 12:15:00 PM,8,2,6,1,4,2,2,,0
Breguet 14,Barcelona,57, Spain,12/24/1920,"Barcelona, Spain",Aeropostale,F-ALBO,,The aircraft stalled and crashed when an engine failed.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Mendotta,, Minnisota,2/3/1921,"Mendotta, Minnisota",US Aerial Mail Service,130,,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,,1,1,0,1,1,1,0,,0
Junkers F-13,La Crosse,, Wisconsin,2/9/1921,"La Crosse, Wisconsin",US Aerial Mail Service,301,,Crashed for unknown reasons. Both pilots and the mechanic were killed.,,3,3,0,1,3,3,0,,0
Breguet 14,Off Gibraltar,,Off Gibraltar,2/15/1921,Off Gibraltar,Aeropostale,F-ALBA,,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,,2,2,0,1,2,2,0,,0
De Havilland DH-4,Elko,, Nevada,2/22/1921,"Elko, Nevada",US Aerial Mail Service,67,,"Shortly after taking off, the aircraft stalled and crashed .",,1,1,0,1,1,1,0,,0
  	 Avro 504,Point Cook,, Australia,4/6/1921,"Point Cook, Australia",Military - Royal Australian Air Force,H3021,,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",,2,0,0,1,2,0,0,,0
De Havilland DH-4,Mitchel Field,, NY,4/21/1921,"Mitchel Field, NY",US Aerial Mail Service,160,,After taking off the aircraft stalled and crashed.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Cleveland,, Ohio,4/29/1921,"Cleveland, Ohio",US Aerial Mail Service,196,,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",,1,1,0,1,1,1,0,,0
De Havilland DH-4 De Havilland DH-4,Rock Springs,, Wyoming,5/17/1921,"Rock Springs, Wyoming",US Aerial Mail Service,176,,Crashed while attempting to land.,,1,1,0,1,1,1,0,,0
Breguet 14,Toulouse,, France,8/14/1921,"Toulouse, France",Aeropostale,F-ALBI,,,,2,,,1,2,,,,0
Royal Airship Works ZR-2 (airship),River Humber,R-38, England,8/24/1921,"River Humber, England",Military - Royal Airship Works,R-38,,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,12/30/1899 5:40:00 PM,46,46,0,1,46,46,0,,1
Potez IX,Paris,160, France,9/6/1921,"Paris, France",Franco-Roumaine,F-ADCD,Warsaw - Prague - Strasbourg - Paris,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,,5,1,4,1,5,1,4,,0
Bristol 28 Tourer,Near Murchinson River,6116, Australia,12/5/1921,"Near Murchinson River, Australia",West Australian Airways,G-AUDI,Geraldton - Derby,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,,2,2,0,1,2,2,0,,0
Handley Page O/10,Paris,HP-43, France,1/14/1922,"Paris, France",Handley Page Transport,G-EATN,,Crashed at Le Bourget field.,,5,1,4,1,5,1,4,,5
Dirigible Roma (airship),Near Norfolk,, Virginia,2/21/1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,,45,,,1,34,,,,0
Aeromarine Model 85 (flying boat),North Atlantic Ocean,,North Atlantic Ocean,3/22/1922,North Atlantic Ocean,Aero Limited,,Miami - Bimini,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",12/30/1899 11:40:00 AM,6,1,5,1,5,0,5,,0
de Havilland DH-18 / Farman F-60 Goliath,Grandvilliers,4, France,4/7/1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,G-EAOW/FGEAD,Croydon - Le Bourget,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",12/30/1899 1:15:00 PM,7,2,5,1,7,2,5,,0
,Pao Ting Fou,, China,4/8/1922,"Pao Ting Fou, China",,,Test,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,,17,17,0,1,17,17,0,,0
Bleriot Spad 27,Off Folkestone,555, England,6/3/1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,F-ACMH,Croydon - Paris,Went down into the English Channel while en route.,,3,1,2,1,3,1,2,,0
LVG C VI,Fuhlsbuttel,, Germany,7/4/1922,"Fuhlsbuttel, Germany",,,Hamburg - Berlin,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",,3,1,2,1,2,1,1,,0
Potez 29,Near Saverne,25, France,7/16/1922,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,F-FREI,Strasbourg - Paris,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,12/30/1899 4:45:00 PM,5,1,4,1,5,1,4,,0
Breguet 14,Cadix,117, Spain,7/26/1922,"Cadix, Spain",Grands Express Aeriens,F-ALVE,,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",,3,1,2,1,3,1,2,,0
De Havilland DH-4,Indianapolis,, Indiana,9/7/1922,"Indianapolis, Indiana",US Aerial Mail Service,227,,The plane stalled shortly after takeoff and crashed.,,1,1,0,1,1,1,0,,0
de Havilland DH-9,Venice,14, Italy,10/2/1922,"Venice, Italy",de Havilland Air Service,G-EAYT,Venice - London,Shortly after taking off the plane crashed into the sea and sank.,,4,1,3,1,4,1,3,,0
Breguet 14,Larache,, Morocco,10/25/1922,"Larache, Morocco",Grands Express Aeriens,,,Crashed under unknown circumstances.,,2,1,1,1,2,1,1,,0
Breguet 14,Fez,14, Morocco,12/3/1922,"Fez, Morocco",Grands Express Aeriens,F-ALNA,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,,1,1,0,1,1,1,0,,0
Lioré-et-Olivier H-13,Ajaccio,4, France,1/10/1923,"Ajaccio, France",Amee de l'Air,F-AEIB,,The plane crashed mid-air due to a structural failure of the tail.,,4,2,2,1,3,2,1,,0
Breguet 14,Barcelona,6083-130, Spain,1/17/1923,"Barcelona, Spain",Grands Express Aeriens,F-ALJU,,Crashed into a mountain during a snowstorm.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Cheyenne,, Wyoming,1/18/1923,"Cheyenne, Wyoming",US Aerial Mail Service,223,,Crashed during a mail flight.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Meadville,, Pennsylvania,2/26/1923,"Meadville, Pennsylvania",US Aerial Mail Service,291,,The pilot lost control of the aircraft  while on approach in poor weather conditions.,,1,1,0,1,1,1,0,,0
Farman F-60 Goliath,Near Amiens,15, France,5/14/1923,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),F-AEBY,Paris - London,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",12/30/1899 1:42:00 PM,6,2,4,1,6,2,4,,0
Farman F.60 Goliath,East Mallling,4, United Kingdom,8/27/1923,"East Mallling, United Kingdom",Air Union,F-AECB,Paris - Berck-sur-Mer - Croydon,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",12/30/1899 5:30:00 PM,11,2,9,1,1,0,1,,0
Blériot Spad 46,Bucharest,28, Romania,8/27/1923,"Bucharest, Romania",Campagnie France Roumaine,F-AEGN,,Crashed while on approach to Bucharesst.,,2,1,1,1,2,1,1,,0
De Havilland DH-4,Colton,, Ohio,9/7/1923,"Colton, Ohio",US Aerial Mail Service,283,,Crashed during an emergency landing attempt.,,1,1,0,1,1,1,0,,0
de Havilland DH-34,Near Ivinghoe,29, England,9/14/1923,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,G-EBBS,Croydon - Manchester,Crashed while attempting a forced landing after encountering heavy rain.,12/30/1899 6:00:00 PM,5,2,3,1,5,2,3,,0
Junkers F-13,Russia,,Russia,11/18/1923,Russia,CCCP,D-257,,Crashed during a training flight.,,5,3,2,1,3,2,1,,0
De Havilland DH-4,Castalia,, Ohio,12/6/1923,"Castalia, Ohio",US Aerial Mail Service,318,,Crashed under unknown circumstances.,,1,1,0,1,1,1,0,,0
Zeppelin Dixmunde (airship),Over the Mediterranean Sea,,Over the Mediterranean Sea,12/23/1923,Over the Mediterranean Sea,Military - French Navy,L-72,Toulon - Algiers,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",12/30/1899 2:30:00 AM,52,,,1,52,,,,0
De Havilland DH-4,Egbert,, WY,12/24/1923,"Egbert, WY",US Aerial Mail Service,315,,Crashed into a montain in poor weather conditions.,,1,1,0,1,1,1,0,,0
De Havilland DH-4,Grampian,, Pennsylvania,3/7/1924,"Grampian, Pennsylvania",US Aerial Mail Service,327,,Crashed during a snowstorm.,,1,1,0,1,1,1,0,,0
Fokker F.III,Over the English Channel,1535,Over the English Channel,4/24/1924,Over the English Channel,KLM Royal Dutch Airlines,H-NABS,"Lympne, England - Rotterdam, The Netherlands",The aircraft disappeared over the North Sea. The plane and passengers were never found.,,3,1,2,1,3,1,2,,0
Junkers F-13,Barranquilla,684, Colombia,6/8/1924,"Barranquilla, Colombia",SCADTA,A16,Barranquilla - Bogota,Stalled after taking off and crashed into houses..,,5,2,3,1,5,2,3,,0
De Havilland DH-4,United States,,United States,8/1/1924,United States,US Aerial Mail Service,297,,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",,1,1,0,1,1,1,0,,0
Breguet 14,Cabrerolles,, France,11/6/1924,"Cabrerolles, France",Grands Express Aeriens,F-AFBD,,"While en route the pilot encountered thunderstorms, lost control and crashed.",,1,1,0,1,1,1,0,,0
De Havilland DH-4,Goshen,, Indiana,12/21/1924,"Goshen, Indiana",US Aerial Mail Service,311,,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",,1,1,0,1,1,1,0,,0
de Havilland DH-34B,Purley,36, England,12/24/1924,"Purley, England",Imperial Airways,G-EBBX,London - Paris,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",12/30/1899 12:00:00 PM,8,1,7,1,8,1,7,,0
Junkers F-13,Near Tiflis,590, USSR,3/22/1925,"Near Tiflis, Georgia, USSR",Zakavia,R-RECA,Tiflis - Suchumi,Shortly after take off the plane went out of control and crashed in flames.,,5,2,3,1,5,2,3,,0
Breguet 14,Alicante,202, Spain,4/25/1925,"Alicante, Spain",Grands Express Aeriens,F-AFBB,Alicante - Barcelona - Toulouse,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",,3,2,1,1,3,2,1,,0
Fokker (KLM)  F.III,Landrécies,1502, France,6/25/1925,"Landrécies, France",KLM Royal Dutch Airlines,H-NABM,Amsterdam - Paris,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",,4,1,3,1,4,1,3,,0
Lioré-et-Olivier LeO H-13,Alicante,, Spain,6/26/1925,"Alicante, Spain",Grands Express Aeriens,F-FREM,Oran - Alicante,While attempting to land the seaplane hit a lightning mast and crashed.,,2,2,0,1,2,2,0,,0
Breguet 14,Rosas,209, Spain,7/20/1925,"Rosas, Spain",Lignes Aeriennes Latecoere,F-AFBI,Toulouse - Barcelona,Crashed in unknown circumstance.,,1,1,0,1,1,1,0,,0
Potez IX,Budapest,, Hungary,7/24/1925,"Budapest, Hungary",CIDNA,,,Crashed while attempting to land 10 km from the airport,,1,1,0,1,1,1,0,,0
Dirigible ZR-1 Shenandoah (airship),Caldwell,, Ohio,9/3/1925,"Caldwell, Ohio",Military - U.S. Navy,ZR-1,"Lakehurst, NJ - S.t Louis, MO","The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",12/30/1899 5:30:00 AM,43,,,1,14,,,,0
Spad 33,Toul,, France,9/7/1925,"Toul, France",CIDNA,,,,,,,,1,,,,,
De Havilland DH-4,Mt. Nittany,, Ohio,10/1/1925,"Mt. Nittany, Ohio",US Aerial Mail Service,385,New York - San Francisco,Crashed into a wooded area on Mt. Nittany in fog and low visibility.,,1,1,0,1,1,1,0,,0
Breguet 14,Nouadhibou,168, Mauritania,11/14/1925,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,F-AEGZ,,The pilot suffered sunstroke lost control of the plane and crashed.,,1,1,0,1,1,1,0,,0
Farman F-60 Goliath,Off Boulogne-sur-Mer,, France,11/14/1925,"Off Boulogne-sur-Mer, France",Air Union,F-AMFY,,,,2,,,1,2,,,,0
Curtiss Carrier Pigeon,Montpelier,, Ohio,2/12/1926,"Montpelier, Ohio",US Aerial Mail Service,602,,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",,1,1,0,1,1,1,0,,0
Junkers F-13,Staaken,665, Germany,3/8/1926,"Staaken, Germany",Deutche Lufthansa,D-290 D-290,,While in a training filight the aircraft stalled and crashed while attempting to land.,,1,1,0,1,1,1,0,,0
Breguet 14,English Channel,1908,English Channel,5/31/1926,English Channel,Air Union,F-ADAI,Paris - Cryodon,The mail plane crashed into the English Channel and was never found.,,1,1,0,1,1,1,0,,0
Caudron C-61,Rossaugpt,5307, Czechoslovakia,7/3/1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,F-AFBT,Paris - Prague - Budapest,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,,6,2,4,1,6,2,4,,0
Fokker F7,Wolvertem,4759, Belgium,7/9/1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,H-NACC,Amsterdam - Rotterdam - Brussels - Paris,Crashed into the ground while descending in poor weather.,12/30/1899 9:30:00 AM,2,1,1,1,2,1,1,,0
Junkers F-13,Juist,660, Germany,7/24/1926,"Juist, Germany",Deutsche Lufthansa,D-272,,Crashed under weather related.circumstances.,,5,1,4,1,5,1,4,,0
Bleriot 155,Hurst,2, England,8/18/1926,"Hurst, Kent, England",Air Union,F-AIEB,"Lebourget, France - Croydon, England",The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,,15,2,13,1,3,1,2,,0
Sikorsky S-25,New York,, New York,9/26/1926,"New York, New York",,,New York - Paris,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.,,5,1,4,1,2,0,2,,0
Bleriot 155,Leigh,1, Unied Kingdom,10/2/1926,"Leigh, Kent, Unied Kingdom",Air Union,F- AICQ,Paris - London,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",12/30/1899 3:27:00 PM,7,2,5,1,7,2,5,,0
Fokker FG III,Bueren,1554, Germany,10/8/1926,"Bueren, Germany",Deutsche Lufthansa,D-468,,Weather related.,,4,1,3,1,4,1,3,,0
